     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     29743,       501,         0,    31.8,bplsd_r6_w7_c1_hx36,b0f93778cb30d954ca81a8999351493e3787454007edc2708de267ae47dccf8b,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":4,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.003,""rounds"":6,""window"":7,""z_basis"":""True""}",
      8445,       528,         0,    14.6,bplsd_r6_w7_c1_hx36,27fde01f111ce334a2df3b693203e4ddd67e3ddcd38eb42314a8e5aca630c10c,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":4,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.004,""rounds"":6,""window"":7,""z_basis"":""True""}",
      4427,       650,         0,    13.5,bplsd_r6_w7_c1_hx36,88fcf6e7624cdbe7ea341af34f22ba79ddee877109aeb70fa14da4eb36fb05ba,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":4,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.005,""rounds"":6,""window"":7,""z_basis"":""True""}",
      2017,       519,         0,    10.0,bplsd_r6_w7_c1_hx36,aa885318fa1930c95395584636abc753db2a92d3ec3a920d10bb551d2223ba20,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":4,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.006,""rounds"":6,""window"":7,""z_basis"":""True""}",
  13693836,       516,         0,  5623.9,bplsd_r6_w7_c1_hx36,1d26ad1488b343d1ca2a1cdf582d0e377735f7c9f8cb492cbbc9357e313db2e0,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":8,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.0006,""rounds"":6,""window"":7,""z_basis"":""True""}",
   2441533,       515,         0,  1000.1,bplsd_r6_w7_c1_hx36,d959d528ba2195fbee8d46625c6356b7c94e7d7ea7d63a4931935ae0015aee81,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":8,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.001,""rounds"":6,""window"":7,""z_basis"":""True""}",
    154601,       503,         0,   101.0,bplsd_r6_w7_c1_hx36,89f71ccb776e5eff5fbf33ea2be319b3cdbddb24135ad026063ebf47ab2314e5,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":8,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.002,""rounds"":6,""window"":7,""z_basis"":""True""}",
     28200,       500,         0,    30.2,bplsd_r6_w7_c1_hx36,b3ccbedb8a331cf7609c57cc25e25f39ede00b1165b81a69124ca85389cce3ae,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":8,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.003,""rounds"":6,""window"":7,""z_basis"":""True""}",
     10593,       576,         0,    19.0,bplsd_r6_w7_c1_hx36,e8398dfa466d992338563a23084688ecc056e18581c46e74e52d57c37f0d5421,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":8,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.004,""rounds"":6,""window"":7,""z_basis"":""True""}",
      3639,       501,         0,    11.1,bplsd_r6_w7_c1_hx36,3444516dea16d488ff0d1661591195cf07a0a2b16c1d1efb0e18874800bdaaca,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":8,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.005,""rounds"":6,""window"":7,""z_basis"":""True""}",
